sample_ID	paper_number	compound	chemical_family	Ln_ion	Ln_anisotropy	Ln_Kramers	concentration	coordination_number	number_of_ligands	coordination_elements	X_im_max	T_B3	T_B3H	H	Fit	Ueff	Ueff_2	Ueff_ff	tau0	tau0_ff	Hyst	T_hyst	DOI	reference	year	mol_cluster	mag_struct_cluster	mol_cluster_2	mag_struct_cluster_2	link_to_CIF
1	2003_01	[Pc2Tb]TBA	LnPc2	Tb3+	Oblate	Non-Kramers	100	8	2	Nitrogen	T_B3 > 2K	40	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	1.7	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
2	2003_01	[Pc2Dy]TBA	LnPc2	Dy3+	Oblate	Kramers	100	8	2	Nitrogen	T_B3 > 2K	10	NA	NA	NA	NA	NA	NA	NA	NA	Pinched Hysteresis	1.7	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
3	2003_01	[Pc2Ho]TBA	LnPc2	Ho3+	Oblate	Non-Kramers	100	8	2	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
4	2003_01	[Pc2Er]TBA	LnPc2	Er3+	Prolate	Kramers	100	8	2	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
5	2003_01	[Pc2Tm]TBA	LnPc2	Tm3+	Prolate	Non-Kramers	100	8	2	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
6	2003_01	[Pc2Yb]TBA	LnPc2	Yb3+	Prolate	Kramers	100	8	2	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
7	2003_01	[Pc2Tb]TBA:[Pc2Y]TBA = 1/4	LnPc2	Tb3+	Oblate	Non-Kramers	20	8	2	Nitrogen	T_B3 > 2K	40	NA	NA	X''(T)	331.2	NA	NA	6.25e-8	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	III	F	VIII	NA
8	2003_01	[Pc2Dy]TBA:[Pc2Y]TBA = 1/4	LnPc2	Dy3+	Oblate	Kramers	20	8	2	Nitrogen	T_B3 > 2K	10	NA	NA	X''(T)	40.32	NA	NA	6.25e-6	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	III	F	VIII	NA
9	2004_01	[Pc2Tb]TBA:[Pc2Y]TBA = 1/50	LnPc2	Tb3+	Oblate	Non-Kramers	2	8	2	Nitrogen	T_B3 > 2K	40	NA	NA	NA	374.4	NA	NA	2e-8	NA	Not Measured	NA	10.1021/jp0376065	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2004 Mononuclear Lanthanide Complexes with a Long Magnetization Relaxation Time at High Temperatures:  A New Category of Magnets at the Single-Molecular Level. The Journal of Physical Chemistry B 108, 11265–11271. (doi:10.1021/jp0376065)	2003-2010	D	III	F	VIII	NA
10	2004_01	[Pc2Dy]TBA:[Pc2Y]TBA = 1/50	LnPc2	Dy3+	Oblate	Kramers	2	8	2	Nitrogen	T_B3 > 2K	10	NA	NA	NA	44.64	NA	NA	3.33e-6	NA	Not Measured	NA	10.1021/jp0376065	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2004 Mononuclear Lanthanide Complexes with a Long Magnetization Relaxation Time at High Temperatures:  A New Category of Magnets at the Single-Molecular Level. The Journal of Physical Chemistry B 108, 11265–11271. (doi:10.1021/jp0376065)	2003-2010	D	III	F	VIII	NA
11	2004_02	[Pc2TbIII]0	LnPc2	Tb3+	Oblate	Non-Kramers	100	8	2	Nitrogen	T_B3 > 2K	50	NA	NA	NA	590.4	NA	NA	1.47e-9	NA	Not Measured	NA	10.1021/ic049348b	Ishikawa, N., Sugita, M., Tanaka, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2004 Upward Temperature Shift of the Intrinsic Phase Lag of the Magnetization of Bis(phthalocyaninato)terbium by Ligand Oxidation Creating anS=1/2Spin. Inorganic Chemistry 43, 5498–5500. (doi:10.1021/ic049348b)	2003-2010	D	III	F	VIII	NA
12	2004_02	[(C12H25O)8Pc]2Tb	LnPc2	Tb3+	Oblate	Non-Kramers	100	8	2	Nitrogen	T_B3 > 2K	48	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic049348b	Ishikawa, N., Sugita, M., Tanaka, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2004 Upward Temperature Shift of the Intrinsic Phase Lag of the Magnetization of Bis(phthalocyaninato)terbium by Ligand Oxidation Creating anS=1/2Spin. Inorganic Chemistry 43, 5498–5500. (doi:10.1021/ic049348b)	2003-2010	D	Unassigned	F	Unassigned	NA
13	2004_02	[Pc2Tb]0:[Pc2Y]0 = 1/10	LnPc2	Tb3+	Oblate	Non-Kramers	9.09	8	2	Nitrogen	T_B3 > 2K	46	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic049348b	Ishikawa, N., Sugita, M., Tanaka, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2004 Upward Temperature Shift of the Intrinsic Phase Lag of the Magnetization of Bis(phthalocyaninato)terbium by Ligand Oxidation Creating anS=1/2Spin. Inorganic Chemistry 43, 5498–5500. (doi:10.1021/ic049348b)	2003-2010	D	Unassigned	F	Unassigned	NA
14	2005_01	[PcTbPcYPc*]:[Pc2Pc*Y2]	LnPc2	Tb3+	Oblate	Non-Kramers	5	8	2	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/anie.200461546	Ishikawa, N., Otsuka, S. & Kaizu, Y. 2005 The Effect of the f-f Interaction on the Dynamic Magnetism of a Coupled 4f8 System in a Dinuclear Terbium Complex with Phthalocyanines. Angewandte Chemie International Edition 44, 731–733. (doi:10.1002/anie.200461546)	2003-2010	D	Unassigned	F	Unassigned	NA
15	2005_01	[PcYPcTbPc*]:[Pc2Pc*Y2]	LnPc2	Tb3+	Oblate	Non-Kramers	5	8	2	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/anie.200461546	Ishikawa, N., Otsuka, S. & Kaizu, Y. 2005 The Effect of the f-f Interaction on the Dynamic Magnetism of a Coupled 4f8 System in a Dinuclear Terbium Complex with Phthalocyanines. Angewandte Chemie International Edition 44, 731–733. (doi:10.1002/anie.200461546)	2003-2010	D	Unassigned	F	Unassigned	NA
16	2005_02	[(Pc)2Ho0.02Y0.98]-TBA+	LnPc2	Ho3+	Oblate	Non-Kramers	2	8	2	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	0.5	10.1021/ja0428661	Ishikawa, N., Sugita, M. & Wernsdorfer, W. 2005 Nuclear Spin Driven Quantum Tunneling of Magnetization in a New Lanthanide Single-Molecule Magnet:  Bis(Phthalocyaninato)holmium Anion. Journal of the American Chemical Society 127, 3650–3651. (doi:10.1021/ja0428661)	2003-2010	D	Unassigned	F	Unassigned	NA
17	2005_02	[(Pc)2Ho0.2Y0.8]-TBA+	LnPc2	Ho3+	Oblate	Non-Kramers	20	8	2	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	0.04	10.1021/ja0428661	Ishikawa, N., Sugita, M. & Wernsdorfer, W. 2005 Nuclear Spin Driven Quantum Tunneling of Magnetization in a New Lanthanide Single-Molecule Magnet:  Bis(Phthalocyaninato)holmium Anion. Journal of the American Chemical Society 127, 3650–3651. (doi:10.1021/ja0428661)	2003-2010	D	Unassigned	F	Unassigned	NA
18	2005_03	[(Pc)2Tb0.02Y0.98]-TBA+	LnPc2	Tb3+	Oblate	Non-Kramers	2	8	2	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	0.04	10.1002/anie.200462638	Ishikawa, N., Sugita, M. & Wernsdorfer, W. 2005 Quantum Tunneling of Magnetization in Lanthanide Single-Molecule Magnets: Bis(phthalocyaninato)terbium and Bis(phthalocyaninato)dysprosium Anions. Angewandte Chemie International Edition 44, 2931–2935. (doi:10.1002/anie.200462638)	2003-2010	D	Unassigned	F	Unassigned	NA
19	2005_03	[(Pc)2Dy0.02Y0.98]-TBA+	LnPc2	Dy3+	Oblate	Kramers	2	8	2	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	0.04	10.1002/anie.200462638	Ishikawa, N., Sugita, M. & Wernsdorfer, W. 2005 Quantum Tunneling of Magnetization in Lanthanide Single-Molecule Magnets: Bis(phthalocyaninato)terbium and Bis(phthalocyaninato)dysprosium Anions. Angewandte Chemie International Edition 44, 2931–2935. (doi:10.1002/anie.200462638)	2003-2010	D	Unassigned	F	Unassigned	NA
20	2006_01	(ET)4[Dy(NCS)6]CH2Cl2	Radical	Dy3+	Oblate	Kramers	100	6	6	Nitrogen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1080/15421400600698287	Ueki, S., Nogami, T., Ishida, T. & Tamura, M. 2006 ET and TTF Salts with Lanthanide Complex Ions Showing Frequency-Dependent ac Magnetic Susceptibility. Molecular Crystals and Liquid Crystals 455, 129–134. (doi:10.1080/15421400600698287)	2003-2010	B	Unassigned	B	Unassigned	NA
21	2006_01	(ET)4[Ho(NCS)6]CH2Cl2	Radical	Ho3+	Oblate	Non-Kramers	100	6	6	Nitrogen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1080/15421400600698287	Ueki, S., Nogami, T., Ishida, T. & Tamura, M. 2006 ET and TTF Salts with Lanthanide Complex Ions Showing Frequency-Dependent ac Magnetic Susceptibility. Molecular Crystals and Liquid Crystals 455, 129–134. (doi:10.1080/15421400600698287)	2003-2010	B	Unassigned	E	Unassigned	NA
22	2006_01	(ET)4[Er(NCS)6]CH2Cl2	Radical	Er3+	Prolate	Kramers	100	6	6	Nitrogen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1080/15421400600698287	Ueki, S., Nogami, T., Ishida, T. & Tamura, M. 2006 ET and TTF Salts with Lanthanide Complex Ions Showing Frequency-Dependent ac Magnetic Susceptibility. Molecular Crystals and Liquid Crystals 455, 129–134. (doi:10.1080/15421400600698287)	2003-2010	C	Unassigned	D	Unassigned	NA
23	2006_01	(ET)4[Yb(NCS)6]CH2Cl2	Radical	Yb3+	Prolate	Kramers	100	6	6	Nitrogen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1080/15421400600698287	Ueki, S., Nogami, T., Ishida, T. & Tamura, M. 2006 ET and TTF Salts with Lanthanide Complex Ions Showing Frequency-Dependent ac Magnetic Susceptibility. Molecular Crystals and Liquid Crystals 455, 129–134. (doi:10.1080/15421400600698287)	2003-2010	C	Unassigned	D	Unassigned	NA
24	2006_01	(ET)5[Tb(NCS)6NO3]CH2Cl2	Radical	Tb3+	Oblate	Non-Kramers	100	8	7	Oxygen+Nitrogen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1080/15421400600698287	Ueki, S., Nogami, T., Ishida, T. & Tamura, M. 2006 ET and TTF Salts with Lanthanide Complex Ions Showing Frequency-Dependent ac Magnetic Susceptibility. Molecular Crystals and Liquid Crystals 455, 129–134. (doi:10.1080/15421400600698287)	2003-2010	B	Unassigned	E	Unassigned	NA
25	2006_01	(ET)5[Dy(NCS)6NO3]CH2Cl2	Radical	Dy3+	Oblate	Kramers	100	8	7	Oxygen+Nitrogen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1080/15421400600698287	Ueki, S., Nogami, T., Ishida, T. & Tamura, M. 2006 ET and TTF Salts with Lanthanide Complex Ions Showing Frequency-Dependent ac Magnetic Susceptibility. Molecular Crystals and Liquid Crystals 455, 129–134. (doi:10.1080/15421400600698287)	2003-2010	B	Unassigned	B	Unassigned	NA
26	2006_01	(TTF)6[Dy(NCS)6]	Radical	Dy3+	Oblate	Kramers	100	6	6	Nitrogen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1080/15421400600698287	Ueki, S., Nogami, T., Ishida, T. & Tamura, M. 2006 ET and TTF Salts with Lanthanide Complex Ions Showing Frequency-Dependent ac Magnetic Susceptibility. Molecular Crystals and Liquid Crystals 455, 129–134. (doi:10.1080/15421400600698287)	2003-2010	B	Unassigned	B	Unassigned	NA
27	2006_02	[N(C2H5)4]3[Tb(dipic)3].nH2O	Other Families	Tb3+	Oblate	Non-Kramers	100	9	3	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic051089i	Sugita, M., Ishikawa, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2006 Static Magnetic-Field-Induced Phase Lag in the Magnetization Response of Tris(dipicolinato)lanthanides. Inorganic Chemistry 45, 1299–1304. (doi:10.1021/ic051089i)	2003-2010	B	Unassigned	E	Unassigned	NA
28	2006_02	[N(C2H5)4]3[Dy(dipic)3].nH2O	Other Families	Dy3+	Oblate	Kramers	100	9	3	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic051089i	Sugita, M., Ishikawa, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2006 Static Magnetic-Field-Induced Phase Lag in the Magnetization Response of Tris(dipicolinato)lanthanides. Inorganic Chemistry 45, 1299–1304. (doi:10.1021/ic051089i)	2003-2010	B	Unassigned	C	Unassigned	NA
29	2006_02	[N(C2H5)4]3[Ho(dipic)3].nH2O	Other Families	Ho3+	Oblate	Non-Kramers	100	9	3	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic051089i	Sugita, M., Ishikawa, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2006 Static Magnetic-Field-Induced Phase Lag in the Magnetization Response of Tris(dipicolinato)lanthanides. Inorganic Chemistry 45, 1299–1304. (doi:10.1021/ic051089i)	2003-2010	B	Unassigned	E	Unassigned	NA
30	2006_02	[N(C2H5)4]3[Er(dipic)3].nH2O	Other Families	Er3+	Prolate	Kramers	100	9	3	Oxygen+Nitrogen	No Freq-dependent X''	NA	2	1000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic051089i	Sugita, M., Ishikawa, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2006 Static Magnetic-Field-Induced Phase Lag in the Magnetization Response of Tris(dipicolinato)lanthanides. Inorganic Chemistry 45, 1299–1304. (doi:10.1021/ic051089i)	2003-2010	C	Unassigned	D	Unassigned	NA
31	2006_02	[N(C2H5)4]3[Tm(dipic)3].nH2O	Other Families	Tm3+	Prolate	Non-Kramers	100	9	3	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic051089i	Sugita, M., Ishikawa, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2006 Static Magnetic-Field-Induced Phase Lag in the Magnetization Response of Tris(dipicolinato)lanthanides. Inorganic Chemistry 45, 1299–1304. (doi:10.1021/ic051089i)	2003-2010	C	Unassigned	D	Unassigned	NA
32	2006_02	[N(C2H5)4]3[Yb(dipic)3].nH2O	Other Families	Yb3+	Prolate	Kramers	100	9	3	Oxygen+Nitrogen	No Freq-dependent X''	NA	4	1000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic051089i	Sugita, M., Ishikawa, N., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2006 Static Magnetic-Field-Induced Phase Lag in the Magnetization Response of Tris(dipicolinato)lanthanides. Inorganic Chemistry 45, 1299–1304. (doi:10.1021/ic051089i)	2003-2010	C	Unassigned	D	Unassigned	NA
33	2007_01	[Zn(μ-L)2Gd(NO3)3]n·solvents	TM near Ln	Gd3+	Isotropic	Kramers	100	NA	5	Oxygen	Freq-dependent X''	NA	3.2	4000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1007/s11426-007-0076-y	Zhang, W., Zhao, F., Liu, T. & Gao, S. 2007 Syntheses, structures and magnetic properties of a family of one-dimensional M(II)-lanthanide(III) (M = Ni(II) and Zn(II)) coordination polymers. Science in China Series B: Chemistry 50, 308–317. (doi:10.1007/s11426-007-0076-y)	2003-2010	A	Unassigned	A	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=643252
34	2007_01	[Zn(μ-L)2Tb(NO3)3]n·solvents	TM near Ln	Tb3+	Oblate	Non-Kramers	100	NA	5	Oxygen	Freq-dependent X''	NA	2.8	4000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1007/s11426-007-0076-y	Zhang, W., Zhao, F., Liu, T. & Gao, S. 2007 Syntheses, structures and magnetic properties of a family of one-dimensional M(II)-lanthanide(III) (M = Ni(II) and Zn(II)) coordination polymers. Science in China Series B: Chemistry 50, 308–317. (doi:10.1007/s11426-007-0076-y)	2003-2010	B	Unassigned	E	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=643253
35	2007_01	[Zn(μ-L)2Dy(NO3)3]n·solvents	TM near Ln	Dy3+	Oblate	Kramers	100	NA	5	Oxygen	No Freq-dependent X''	NA	4	4000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1007/s11426-007-0076-y	Zhang, W., Zhao, F., Liu, T. & Gao, S. 2007 Syntheses, structures and magnetic properties of a family of one-dimensional M(II)-lanthanide(III) (M = Ni(II) and Zn(II)) coordination polymers. Science in China Series B: Chemistry 50, 308–317. (doi:10.1007/s11426-007-0076-y)	2003-2010	B	Unassigned	C	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=643254
36	2007_01	[Zn(μ-L)2Ho(NO3)3]n·solvents	TM near Ln	Ho3+	Oblate	Non-Kramers	100	NA	5	Oxygen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1007/s11426-007-0076-y	Zhang, W., Zhao, F., Liu, T. & Gao, S. 2007 Syntheses, structures and magnetic properties of a family of one-dimensional M(II)-lanthanide(III) (M = Ni(II) and Zn(II)) coordination polymers. Science in China Series B: Chemistry 50, 308–317. (doi:10.1007/s11426-007-0076-y)	2003-2010	B	Unassigned	E	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=643255
37	2007_02	[{Pc(OEt)8}2TbIII]-(n-Bu4N)+	LnPc2	Tb3+	Oblate	Non-Kramers	100	8	2	Nitrogen	T_B3 > 2K	40	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic700954t	Takamatsu, S., Ishikawa, T., Koshihara, S. & Ishikawa, N. 2007 Significant Increase of the Barrier Energy for Magnetization Reversal of a Single-4f-Ionic Single-Molecule Magnet by a Longitudinal Contraction of the Coordination Space. Inorganic Chemistry 46, 7250–7252. (doi:10.1021/ic700954t)	2003-2010	D	Unassigned	F	Unassigned	NA
38	2007_02	[{Pc(OEt)8}2TbIII]+(SbCl6)-	LnPc2	Tb3+	Oblate	Non-Kramers	100	8	2	Nitrogen	T_B3 > 2K	52	NA	NA	NA	792	NA	NA	4.2e-11	NA	Not Measured	NA	10.1021/ic700954t	Takamatsu, S., Ishikawa, T., Koshihara, S. & Ishikawa, N. 2007 Significant Increase of the Barrier Energy for Magnetization Reversal of a Single-4f-Ionic Single-Molecule Magnet by a Longitudinal Contraction of the Coordination Space. Inorganic Chemistry 46, 7250–7252. (doi:10.1021/ic700954t)	2003-2010	D	III	F	VIII	NA
39	2007_04	[Dy(hfac)3{NITpPy}]2	Radical	Dy3+	Oblate	Kramers	100	8	5	Oxygen+Nitrogen	Freq-dependent X''	NA	2.5	2000	NA	13.7	NA	NA	6.7e-7	NA	Pinched Hysteresis	4	10.1039/b617898g	Poneti, G., Bernot, K., Bogani, L., Caneschi, A., Sessoli, R., Wernsdorfer, W. & Gatteschi, D. 2007 A rational approach to the modulation of the dynamics of the magnetisation in a dysprosium–nitronyl-nitroxide radical complex. Chem. Commun. , 1807–1809. (doi:10.1039/b617898g)	2003-2010	B	II	B	VII	NA
40	2007_04	[Dy(hfac)3{NITpPy}]2	Radical	Dy3+	Oblate	Kramers	14.93	8	5	Oxygen+Nitrogen	Freq-dependent X''	NA	2.7	2000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1039/b617898g	Poneti, G., Bernot, K., Bogani, L., Caneschi, A., Sessoli, R., Wernsdorfer, W. & Gatteschi, D. 2007 A rational approach to the modulation of the dynamics of the magnetisation in a dysprosium–nitronyl-nitroxide radical complex. Chem. Commun. , 1807–1809. (doi:10.1039/b617898g)	2003-2010	B	Unassigned	B	Unassigned	NA
41	2008_01	[ErW10O36]9-	POM	Er3+	Prolate	Kramers	100	8	2	Oxygen	T_B3 > 2K	5	NA	NA	X''(T)	55.2	NA	NA	1.6e-8	NA	Not Measured	NA	10.1021/ja801659m	AlDamen, M. A., Clemente-Juan, J. M., Coronado, E., Martí-Gastaldo, C. & Gaita-Ariño, A. 2008 Mononuclear Lanthanide Single-Molecule Magnets Based on Polyoxometalates. Journal of the American Chemical Society 130, 8874–8875. (doi:10.1021/ja801659m)	2003-2010	C	II	D	V	http://www.crystallography.net/cod/result/?doi=10.1021/ja801659m
42	2008_02	[{Pc(OEt)8}2DyIII]-(n-Bu4N)+	LnPc2	Dy3+	Oblate	Kramers	100	8	2	Nitrogen	T_B3 > 2K	10	NA	NA	X''(T)	38.88	NA	NA	4.55e-6	NA	Pinched Hysteresis	1.8	10.1021/ic8014892	Ishikawa, N., Mizuno, Y., Takamatsu, S., Ishikawa, T. & Koshihara, S. 2008 Effects of Chemically Induced Contraction of a Coordination Polyhedron on the Dynamical Magnetism of Bis(phthalocyaninato)disprosium, a Single-4f-Ionic Single-Molecule Magnet with a Kramers Ground State. Inorganic Chemistry 47, 10217–10219. (doi:10.1021/ic8014892)	2003-2010	D	III	F	VIII	NA
43	2008_02	[{Pc(OEt)8}2DyIII]+(SbCl6)-	LnPc2	Dy3+	Oblate	Kramers	100	8	2	Nitrogen	T_B3 > 2K	25	NA	NA	X''(T)	79.2	NA	NA	8.33e-6	NA	Full Hysteresis	4	10.1021/ic8014892	Ishikawa, N., Mizuno, Y., Takamatsu, S., Ishikawa, T. & Koshihara, S. 2008 Effects of Chemically Induced Contraction of a Coordination Polyhedron on the Dynamical Magnetism of Bis(phthalocyaninato)disprosium, a Single-4f-Ionic Single-Molecule Magnet with a Kramers Ground State. Inorganic Chemistry 47, 10217–10219. (doi:10.1021/ic8014892)	2003-2010	D	III	F	VIII	NA
44	2009_01	[Tb(W5O18)2]9-	POM	Tb3+	Oblate	Non-Kramers	100	8	2	Oxygen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic801630z	AlDamen, M. A., Cardona-Serra, S., Clemente-Juan, J. M., Coronado, E., Gaita-Ariño, A., Martí-Gastaldo, C., Luis, F. & Montero, O. 2009 Mononuclear Lanthanide Single Molecule Magnets Based on the Polyoxometalates [Ln(W5O18)2]9−and [Ln(β2-SiW11O39)2]13−(LnIII= Tb, Dy, Ho, Er, Tm, and Yb). Inorganic Chemistry 48, 3467–3479. (doi:10.1021/ic801630z)	2003-2010	D	Unassigned	E	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ic801630z
45	2009_01	[Dy(W5O18)2]9-	POM	Dy3+	Oblate	Kramers	100	8	2	Oxygen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic801630z	AlDamen, M. A., Cardona-Serra, S., Clemente-Juan, J. M., Coronado, E., Gaita-Ariño, A., Martí-Gastaldo, C., Luis, F. & Montero, O. 2009 Mononuclear Lanthanide Single Molecule Magnets Based on the Polyoxometalates [Ln(W5O18)2]9−and [Ln(β2-SiW11O39)2]13−(LnIII= Tb, Dy, Ho, Er, Tm, and Yb). Inorganic Chemistry 48, 3467–3479. (doi:10.1021/ic801630z)	2003-2010	B	Unassigned	B	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ic801630z
46	2009_01	[Ho(W5O18)2]9-	POM	Ho3+	Oblate	Non-Kramers	100	8	2	Oxygen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic801630z	AlDamen, M. A., Cardona-Serra, S., Clemente-Juan, J. M., Coronado, E., Gaita-Ariño, A., Martí-Gastaldo, C., Luis, F. & Montero, O. 2009 Mononuclear Lanthanide Single Molecule Magnets Based on the Polyoxometalates [Ln(W5O18)2]9−and [Ln(β2-SiW11O39)2]13−(LnIII= Tb, Dy, Ho, Er, Tm, and Yb). Inorganic Chemistry 48, 3467–3479. (doi:10.1021/ic801630z)	2003-2010	B	Unassigned	E	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ic801630z
